u,v
75641903,19058681
75641903,19678610
75641903,27942809
75641903,14220046
75641903,33051095
75641903,20108560
75641903,1715051
75641903,24447643
75641903,23680913
75641903,17220817
75641903,89503894
75641903,17446621
75641903,88328282
75641903,12925072
75641903,18671559
75641903,18713254
75641903,15485441
75641903,180509355
75641903,18266654
75641903,16312576
75641903,22677790
75641903,28857253
75641903,50374439
75641903,115485051
75641903,50735431
75641903,7081402
75641903,19554706
75641903,30271564
75641903,14075928
75641903,24980246
75641903,61061751
75641903,20196258
75641903,105570240
75641903,25209206
75641903,54964162
75641903,19397785
75641903,74033417
19058681,28706024
19058681,17220817
19058681,48410093
19058681,288452305
19058681,115485051
19058681,19678610
19058681,27942809
19058681,252192024
19058681,24940327
19058681,19397785
19058681,133880286
19058681,205302299
19058681,25209206
19058681,15962096
19058681,19637934
19058681,19404587
19058681,50735431
19058681,26053643
19058681,110827653
19058681,33051095
19058681,19362341
19058681,22851208
19058681,15485441
19058681,62290422
19058681,6539592
19058681,19554706
19058681,26658046
19058681,54964162
19058681,23671862
19058681,92717138
19058681,13058232
19058681,1715051
19058681,105570240
19058681,23697509
19058681,50374439
19058681,28223477
19058681,92367751
19058681,180509355
19058681,14824849
19058681,20108560
19058681,14106578
19058681,7070482
19058681,31353077
19058681,17446621
19058681,14497313
19058681,28857253
19058681,12044602
19058681,348225224
142157505,18713314
142157505,33041426
142157505,20108560
142157505,28706024
142157505,17446621
142157505,18713254
142157505,18266654
142157505,26658046
142157505,288452305
142157505,23779324
142157505,50374439
142157505,18671559
142157505,14506253
142157505,20196258
142157505,19678610
142157505,36686415
142157505,16312576
142157505,125481462
142157505,7081402
142157505,89503894
142157505,33051095
142157505,62290422
142157505,19637934
142157505,53297035
142157505,96164737
142157505,56481539
142157505,50735431
142157505,105570240
142157505,6480682
142157505,62589395
142157505,31353077
142157505,30271564
142157505,14220046
142157505,22677790
142157505,27942809
142157505,251496825
142157505,27457788
142157505,92367751
142157505,50205873
18713314,115818447
18713314,14497313
18713314,14220046
18713314,33051095
18713314,27942809
18713314,7081402
18713314,19678610
18713314,18671559
18713314,14506253
18713314,61061751
18713314,18713254
18713314,20108560
18713314,215060612
18713314,16130403
18713314,31353077
18713314,348225224
18713314,87595338
18713314,62290422
6427882,26053643
6427882,125481462
6427882,20108560
6427882,23779324
6427882,12369372
6427882,92367751
6427882,24980246
6427882,17446621
6427882,79797834
6427882,16312576
6427882,110827653
6427882,48410093
6427882,14497313
6427882,27942809
6427882,24807616
26053643,79797834
26053643,32498545
26053643,25209206
26053643,44039298
26053643,180509355
26053643,90420314
26053643,33041426
26053643,33051095
26053643,26642006
26053643,50374439
26053643,6539592
26053643,178456134
26053643,19678610
26053643,105570240
26053643,28857253
26053643,144003355
26053643,14506253
26053643,17446621
26053643,23680913
26053643,1715051
26053643,23697509
26053643,17017636
26053643,48410093
26053643,53297035
26053643,140233086
26053643,92367751
26053643,61061751
26053643,17501358
26053643,56481539
26053643,62290422
26053643,31353077
26053643,14220046
26053643,155823836
26053643,407977463
26053643,38536306
26053643,19397785
26053643,169686021
26053643,27942809
26053643,15485441
26053643,200163448
26053643,6480682
26053643,50735431
26053643,251496825
26053643,14824849
26053643,16312576
6480682,33041426
6480682,50735431
6480682,121626258
6480682,18671559
6480682,22677790
6480682,807095
6480682,14497313
6480682,90420314
6480682,16312576
6480682,27942809
6480682,20108560
6480682,275197798
6480682,89503894
6480682,56481539
6480682,20196258
6480682,215060612
6480682,32498545
6480682,17220817
6480682,15485441
6480682,407977463
6480682,62290422
6480682,17446621
6480682,105570240
6480682,53297035
6480682,36686415
6480682,14220046
6480682,62589395
6480682,19637934
6480682,348225224
6480682,33051095
6480682,191229716
6480682,6539592
6480682,169686021
6480682,18742360
6480682,23697509
6480682,44039298
6480682,26642006
6480682,7081402
6480682,18713254
6480682,61061751
6480682,50374439
6480682,14075928
6480682,92367751
6480682,115485051
6480682,19678610
6480682,96164737
33041426,24980246
33041426,20196258
33041426,32498545
33041426,23680913
33041426,105570240
33041426,115485051
33041426,16312576
33041426,53297035
33041426,27942809
33041426,50205873
33041426,6539592
33041426,26642006
33041426,19678610
33041426,20108560
33041426,22677790
33041426,50374439
33041426,54964162
33041426,7081402
33041426,44312605
33041426,1715051
33041426,14506253
33041426,50735431
33041426,17446621
115818447,16303106
115818447,407977463
115818447,200163448
115818447,50735431
115818447,498189324
115818447,14075928
115818447,252192024
115818447,689423
115818447,19678610
115818447,24807616
115818447,37788181
115818447,16130403
115818447,90420314
115818447,6539592
115818447,16312576
115818447,42343110
115818447,28223477
115818447,18671559
115818447,36686415
115818447,807095
115818447,31353077
115818447,178456134
115818447,17446621
115818447,20108560
115818447,14506253
115818447,14497313
115818447,12369372
115818447,79797834
115818447,19637934
115818447,18713254
115818447,1715051
115818447,24447643
115818447,27942809
115818447,13992132
16303106,22677790
16303106,105570240
16303106,27942809
16303106,500042487
16303106,89503894
16303106,7081402
16303106,25209206
16303106,19678610
16303106,38536306
16303106,144003355
16303106,50735431
16303106,18713254
16303106,15485441
16303106,16590125
16303106,6539592
16303106,275197798
16303106,28857253
16303106,61061751
16303106,17446621
16303106,16130403
16303106,12044602
16303106,407977463
16303106,1715051
16303106,96164737
16303106,155823836
16303106,14506253
16303106,92367751
16303106,26642006
16303106,21816247
16303106,121626258
16303106,62589395
16303106,44039298
16303106,33051095
16303106,24447643
16303106,16312576
16303106,20108560
16303106,31353077
16303106,18671559
110827653,17446621
110827653,50735431
110827653,18713254
110827653,26642006
110827653,20196258
110827653,92367751
110827653,144003355
110827653,15485441
110827653,205302299
110827653,50374439
110827653,23697509
110827653,48410093
110827653,89503894
110827653,19554706
110827653,16312576
110827653,33051095
110827653,31353077
110827653,14506253
110827653,19362341
110827653,19397785
110827653,20221159
110827653,105570240
17446621,19637934
17446621,498213642
17446621,23680913
17446621,13992132
17446621,17501358
17446621,121626258
17446621,14824849
17446621,18742360
17446621,18671559
17446621,191229716
17446621,133093395
17446621,50735431
17446621,19404587
17446621,36686415
17446621,6539592
17446621,22677790
17446621,348785149
17446621,69491538
17446621,18713254
17446621,48410093
17446621,14022672
17446621,28223477
17446621,215060612
17446621,237930644
17446621,133880286
17446621,20221159
17446621,23697509
17446621,19554706
17446621,27942809
17446621,90420314
17446621,19362341
17446621,115485051
17446621,23737582
17446621,57034964
17446621,178456134
17446621,288452305
17446621,689423
17446621,19678610
17446621,78767466
17446621,31353077
17446621,24980246
17446621,52551600
17446621,15962096
17446621,19397785
17446621,7081402
17446621,24807616
17446621,14075928
17446621,807095
17446621,16312576
17446621,92367751
17446621,125481462
17446621,155823836
17446621,54964162
17446621,16986563
17446621,28857253
17446621,20172395
17446621,20108560
17446621,13274322
17446621,200163448
17446621,23779324
17446621,18950402
17446621,238268257
17446621,50374439
17446621,169686021
17446621,92717138
17446621,275197798
17446621,25209206
17446621,62589395
17446621,20196258
17446621,14497313
17446621,128956175
17446621,12369372
17446621,205302299
17446621,141303634
17446621,12925072
17446621,16130403
17446621,38536306
17446621,498184465
17446621,26642006
