node_id,primary_circle_id,circle_ids
668793,3,[3]
690463,4,[4]
692513,0,[0]
1183041,-1,[-1]
1699641,3,[3]
2086511,3,[3]
2895661,4,[4]
3971891,1,[1]
3991341,1,[1]
4777911,3,[3]
5553152,3,[3]
7861312,-1,[-1]
9103242,-1,[-1]
9709902,3,[3]
10779412,3,[3]
10940912,-1,[-1]
11625912,3,[3]
11991892,3,[3]
12263132,3,[3]
12626522,4,[4]
12771872,0,[0]
13818992,1,[1]
14103991,3,[3]
14237677,0,[0]
14289331,-1,[-1]
14431630,1,[1]
14468028,-1,[-1]
14574672,3,[3]
14575292,3,[3]
14631169,3,[3]
14680498,3,[3]
15099871,3,[3]
15186890,3,[3]
15187067,2,[2]
15189524,3,[3]
15314430,-1,[-1]
15398649,3,[3]
15577830,3,[3]
15578561,1,[1]
15696517,3,[3]
15697207,4,[4]
15698746,1,[1]
15706062,3,[3]
15914915,4,[4]
16068360,3,[3]
16129121,3,[3]
16352313,3,[3]
16358736,3,[3]
16371223,3,[3]
16371487,3,[3]
16388078,4,[4]
16405179,3,[3]
16755150,-1,[-1]
17013763,-1,[-1]
17300093,-1,[-1]
17787399,0,[0]
17987196,3,[3]
18396537,0,[0]
18449101,-1,[-1]
18499738,-1,[-1]
18625349,3,[3]
18701960,0,[0]
18705330,3,[3]
18713254,-1,[-1]
18713314,-1,[-1]
18713759,3,[3]
18729482,3,[3]
18788831,3,[3]
18794066,0,[0]
18794888,3,[3]
19059433,4,[4]
19360730,3,[3]
19576151,3,[3]
19585920,3,[3]
19597106,3,[3]
19697415,-1,[-1]
19740462,4,[4]
19772827,-1,[-1]
20091323,3,[3]
20091731,3,[3]
20101482,3,[3]
20106479,3,[3]
20108996,0,[0]
20264425,3,[3]
20495756,-1,[-1]
20516554,3,[3]
20701825,-1,[-1]
21031864,3,[3]
21123687,3,[3]
21158690,0,[0]
21278515,-1,[-1]
21278996,-1,[-1]
21339114,2,[2]
21341573,3,[3]
21405732,3,[3]
21453865,3,[3]
21505046,-1,[-1]
22325597,3,[3]
22474764,-1,[-1]
22897766,3,[3]
23310922,-1,[-1]
23407381,3,[3]
23493152,3,[3]
23645599,-1,[-1]
23776156,3,[3]
24447643,-1,[-1]
24636449,-1,[-1]
24739574,3,[3]
25133745,-1,[-1]
26046300,3,[3]
26441941,3,[3]
27403903,3,[3]
27577576,-1,[-1]
28071857,3,[3]
28583255,-1,[-1]
28743809,3,[3]
28755851,-1,[-1]
28945516,3,[3]
28947498,3,[3]
30007505,3,[3]
30072713,3,[3]
30316055,3,[3]
31353077,-1,[-1]
32805127,0,[0]
33080180,3,[3]
34956340,3,[3]
36521667,3,[3]
36735522,2,[2]
38090893,-1,[-1]
40094966,3,[3]
40893066,2,[2]
41498727,-1,[-1]
42690407,3,[3]
42706449,2,[2]
44663985,2,[2]
45862504,0,[0]
49101109,-1,[-1]
50159752,2,[2]
50305919,1,[1]
50393960,-1,[-1]
53821910,3,[3]
58158888,3,[3]
60003995,3,[3]
63010830,3,[3]
64501379,2,[2]
65505759,3,[3]
66183198,3,[3]
71333777,3,[3]
73035556,4,[4]
74796174,3,[3]
76585950,4,[4]
76707299,-1,[-1]
76774950,-1,[-1]
82980545,-1,[-1]
93146357,-1,[-1]
100863943,2,[2]
102903198,-1,[-1]
103131379,3,[3]
113696592,-1,[-1]
114636253,3,[3]
127547078,3,[3]
128956175,2,[2]
138564626,4,[4]
145503679,-1,[-1]
151398803,-1,[-1]
154446350,3,[3]
155921575,-1,[-1]
156749605,4,[4]
160870923,1,[1]
161237975,4,[4]
161801527,-1,[-1]
169032978,3,[3]
170214589,-1,[-1]
175624200,-1,[-1]
196540885,-1,[-1]
218143138,-1,[-1]
263352652,-1,[-1]
274766342,-1,[-1]
279573338,-1,[-1]
287582305,-1,[-1]
300916268,-1,[-1]
326524363,-1,[-1]
343918825,-1,[-1]
351731728,-1,[-1]
460045442,-1,[-1]
