u,v
20091731,15696517
20091731,18794888
20091731,14237677
20091731,18729482
20091731,66183198
20091731,4777911
20091731,19360730
20091731,11991892
20091731,20091323
20091731,23407381
20091731,21031864
20091731,5553152
20091731,15578561
20091731,1699641
20091731,15099871
20091731,16371487
20091731,18705330
20091731,15398649
20091731,30007505
20091731,33080180
20091731,9709902
20091731,114636253
20091731,21453865
15696517,14631169
15696517,16068360
15696517,12263132
15696517,15186890
15696517,21505046
15696517,30007505
15696517,28947498
15696517,11991892
15696517,113696592
15696517,16358736
15696517,18705330
15696517,15099871
15696517,127547078
15696517,14680498
15696517,74796174
15696517,20101482
15696517,20091323
15696517,19597106
15696517,12771872
15696517,9709902
15696517,18794066
15696517,33080180
15696517,18701960
15696517,4777911
15696517,10940912
15696517,19585920
15696517,114636253
15696517,32805127
15696517,18396537
15696517,20108996
15696517,18794888
15696517,15398649
15696517,1699641
15696517,42690407
15696517,15578561
15696517,169032978
15696517,49101109
15696517,16371223
15696517,25133745
15696517,17787399
15696517,71333777
15696517,18729482
21031864,4777911
21031864,27403903
21031864,18701960
21031864,12771872
21031864,33080180
21031864,18794066
21031864,12263132
21031864,114636253
21031864,20101482
21031864,32805127
21031864,18713314
21031864,1699641
21031864,3971891
21031864,16371223
21031864,14631169
21031864,58158888
21031864,14680498
21031864,19597106
21031864,18705330
21031864,15706062
21031864,11625912
21031864,21123687
21031864,30007505
21031864,154446350
21031864,74796174
21031864,128956175
21031864,23407381
21031864,19360730
21031864,16371487
21031864,16352313
21031864,10940912
21031864,10779412
21031864,5553152
21031864,36735522
21031864,16358736
21031864,18713254
21031864,21453865
21031864,50393960
21031864,18729482
21031864,42690407
21031864,15314430
21031864,11991892
21031864,19585920
21031864,18396537
21031864,14575292
21031864,2086511
21031864,18794888
21031864,127547078
21031864,19576151
21031864,18713759
21031864,175624200
4777911,18729482
4777911,15189524
4777911,30007505
4777911,114636253
4777911,63010830
4777911,12771872
4777911,18701960
4777911,16358736
4777911,20101482
4777911,18705330
4777911,11991892
4777911,65505759
4777911,14575292
4777911,692513
4777911,15578561
4777911,42706449
4777911,32805127
4777911,33080180
4777911,16371487
4777911,42690407
4777911,1699641
4777911,17013763
4777911,15314430
4777911,18794066
4777911,154446350
4777911,30072713
4777911,14631169
4777911,19360730
4777911,15186890
4777911,5553152
4777911,20106479
4777911,3991341
4777911,12263132
4777911,16352313
4777911,20264425
4777911,19576151
4777911,27403903
4777911,53821910
4777911,18794888
4777911,19597106
4777911,11625912
4777911,14237677
4777911,16371223
4777911,19585920
4777911,10940912
4777911,74796174
4777911,30316055
4777911,18396537
4777911,60003995
4777911,24739574
4777911,71333777
4777911,668793
4777911,21123687
4777911,10779412
4777911,28947498
4777911,23407381
4777911,15398649
4777911,16068360
4777911,14574672
4777911,20091323
4777911,21453865
4777911,15706062
4777911,17300093
4777911,20108996
4777911,58158888
4777911,28945516
4777911,18788831
4777911,15099871
4777911,15698746
30007505,50393960
30007505,15314430
30007505,128956175
30007505,40893066
30007505,16371223
30007505,19597106
30007505,15698746
30007505,154446350
30007505,668793
30007505,18713759
30007505,14103991
30007505,14575292
30007505,66183198
30007505,32805127
30007505,71333777
30007505,34956340
30007505,113696592
30007505,19585920
30007505,17987196
30007505,19360730
30007505,21453865
30007505,36521667
30007505,45862504
30007505,169032978
30007505,12771872
30007505,40094966
30007505,18788831
30007505,21339114
30007505,15189524
30007505,18705330
30007505,20264425
30007505,28947498
30007505,76774950
30007505,21123687
30007505,10779412
30007505,23776156
30007505,18625349
30007505,23645599
30007505,21158690
30007505,20516554
30007505,10940912
30007505,15398649
30007505,65505759
30007505,18729482
