u,v
42534611,119511875
42534611,19332267
42534611,14306161
42534611,33350096
42534611,43302753
42534611,1526641
42534611,31526993
42534611,105251590
42534611,20565284
42534611,177345928
42534611,76997832
42534611,17662117
42534611,38667163
42534611,210916584
42534611,73571504
42534611,386654472
42534611,18713254
42534611,21447363
42534611,168767461
42534611,24529777
42534611,71091067
42534611,39974930
42534611,182033179
42534611,26098254
42534611,23911410
42534611,44527648
42534611,28301551
42534611,95465386
42534611,20508222
42534611,33732317
42534611,172887151
42534611,160926944
42534611,19111767
42534611,52087269
42534611,46248315
42534611,170002596
42534611,353824303
42534611,112915037
42534611,97690357
42534611,237670274
42534611,137524817
42534611,22373497
42534611,56927066
42534611,22403724
42534611,52135300
42534611,139848744
42534611,141664648
42534611,16323833
119511875,177345928
119511875,139848744
119511875,38667163
119511875,89014429
119511875,299932350
119511875,63228090
119511875,33350096
119511875,15290441
119511875,141664648
119511875,43949085
119511875,33732317
119511875,137524817
119511875,52135300
119511875,44527648
119511875,17470801
119511875,89366493
119511875,19332267
119511875,73571504
119511875,238475531
119511875,515722353
119511875,12116282
119511875,97690357
119511875,22086481
119511875,123048985
119511875,106823281
119511875,105251590
119511875,28301551
119511875,26098254
119511875,112915037
119511875,24529777
119511875,14874125
119511875,89018574
119511875,182033179
119511875,20984259
119511875,168767461
19705747,26119295
19705747,20997349
19705747,25572420
19705747,48401464
19705747,14874125
19705747,12116282
19705747,20908620
19705747,18086117
19705747,20984259
19705747,38667163
19705747,27281445
19705747,17471459
19705747,110975630
19705747,15439395
19705747,24502450
19705747,14583400
19705747,24341373
19705747,40039442
19705747,139791861
19705747,23218693
19705747,26098254
19705747,36695656
19705747,17470801
19705747,22373497
19705747,18897091
19705747,27711339
19705747,211287423
19705747,70842829
19705747,210916584
19705747,17662117
19705747,19114743
19705747,27930140
19705747,26869743
19705747,17344075
19705747,89366493
19705747,63228090
19705747,33350096
19705747,16229735
19705747,19494097
19705747,89018574
19705747,17471554
19705747,100684909
19705747,27708496
19705747,171005817
19705747,51889494
19705747,173885254
19705747,16437488
19705747,17284200
19705747,20155652
26119295,20984259
26119295,20997349
26119295,27012213
26119295,18086117
26119295,26869743
26119295,46248315
26119295,51889494
26119295,14874125
26119295,173885254
26119295,27708496
26119295,20823773
26119295,27930140
50835878,26127836
50835878,25180501
50835878,20067778
50835878,40306315
50835878,18713254
50835878,32813335
50835878,29599482
50835878,24529777
50835878,33350096
50835878,46248315
50835878,62581962
50835878,19562228
50835878,93923056
50835878,24447643
26127836,40306315
26127836,17210050
26127836,29599482
26127836,25180501
26127836,24529777
26127836,46248315
26127836,33350096
26127836,56927066
18060630,19562228
18060630,48035712
18060630,386654472
18060630,236980532
18060630,16824146
18060630,19583545
18060630,37315015
18060630,183387449
18060630,287202982
18060630,185344587
18060630,214153705
18060630,46345843
18060630,213745334
18060630,420318016
18060630,226923198
18060630,179173379
18060630,283133921
18060630,225418717
18060630,33496261
18060630,211237817
18060630,223165982
19562228,17020962
19562228,19332267
19562228,24529777
19562228,24447643
19562228,18713254
19562228,20253656
19562228,127356461
19562228,27778893
19562228,17753033
19562228,14306161
19562228,17208738
19562228,22548403
19562228,20155652
19562228,20984259
19562228,20508222
19562228,20067778
19562228,46248315
19562228,86608231
19562228,37315015
19562228,167508096
19562228,106823281
19562228,9335002
19562228,15820664
19562228,74812615
19562228,19994634
19562228,126596564
19562228,22086481
19562228,48035712
19562228,19394186
19562228,21447363
19562228,160926944
19562228,102349515
19562228,62581962
19562228,33350096
19562228,27012213
19562228,58528137
19562228,23379162
19562228,19583545
19562228,18980276
19562228,110975630
19562228,51889494
19562228,15439395
19562228,20054249
19562228,20010173
19562228,25180501
19562228,43949085
19562228,47090533
113633105,34097876
113633105,15439395
113633105,39133880
113633105,27136199
113633105,15253147
113633105,14230524
113633105,21447363
113633105,26003792
113633105,18713254
34097876,102349515
34097876,206421406
34097876,48035712
34097876,27778893
34097876,24529777
34097876,94340379
34097876,15820664
34097876,17208738
34097876,24502450
34097876,63228090
34097876,22548403
34097876,22373497
24502450,17471459
24502450,33175115
24502450,22086481
24502450,17344075
24502450,89366493
24502450,20984259
24502450,102349515
24502450,27778893
24502450,22403724
