node_id,primary_circle_id,circle_ids
1526641,1,[1]
5402612,-1,[-1]
9335002,2,[2]
12116282,2,[2]
12152402,-1,[-1]
14230524,2,[2]
14247723,-1,[-1]
14306161,3,[3]
14583400,-1,[-1]
14874125,2,[2]
15253147,0,[0]
15290441,1,[1]
15439395,0,[0]
15820664,-1,[-1]
16229735,2,[2]
16323833,2,[2]
16437488,2,[2]
16824146,-1,[-1]
17020962,-1,[-1]
17208738,-1,[-1]
17210050,-1,[-1]
17284200,-1,[-1]
17336417,-1,[-1]
17344075,2,[2]
17470801,2,[2]
17471459,2,[2]
17471554,2,[2]
17662117,2,[2]
17753033,0,[0]
18060630,-1,[-1]
18086117,2,[2]
18713254,0,[0]
18713314,-1,[-1]
18897091,2,[2]
18980276,0,[0]
19111767,-1,[-1]
19114743,-1,[-1]
19332267,-1,[-1]
19394186,-1,[-1]
19494097,-1,[-1]
19494287,-1,[-1]
19562228,0,[0]
19583545,-1,[-1]
19702854,-1,[-1]
19705747,2,[2]
19705865,2,[2]
19970709,-1,[-1]
19982092,-1,[-1]
19994634,2,[2]
20010173,2,[2]
20054249,-1,[-1]
20067778,-1,[-1]
20155652,0,[0]
20188422,3,[3]
20253656,2,[2]
20254114,2,[2]
20508222,-1,[-1]
20565284,-1,[-1]
20823773,2,[2]
20908620,2,[2]
20984259,3,[3]
20997349,2,[2]
21089219,-1,[-1]
21447363,2,[2]
22086481,-1,[-1]
22373497,3,[3]
22403724,2,[2]
22548403,-1,[-1]
23218693,2,[2]
23379162,-1,[-1]
23911410,-1,[-1]
24234523,2,[2]
24341373,2,[2]
24447643,0,[0]
24502450,2,[2]
24529777,-1,[-1]
25180501,0,[0]
25489250,-1,[-1]
25572420,2,[2]
26003792,0,[0]
26098254,2,[2]
26119295,2,[2]
26127836,0,[0]
26820380,3,[3]
26869743,2,[2]
27012213,2,[2]
27136199,-1,[-1]
27281445,2,[2]
27708496,2,[2]
27711339,2,[2]
27778893,-1,[-1]
27930140,2,[2]
28301551,-1,[-1]
29599482,0,[0]
29871826,2,[2]
31526993,3,[3]
32813335,0,[0]
33175115,3,[3]
33350096,3,[3]
33496261,-1,[-1]
33732317,2,[2]
34097876,-1,[-1]
36695656,-1,[-1]
37315015,-1,[-1]
38055617,2,[2]
38259087,-1,[-1]
38667163,2,[2]
39133880,-1,[-1]
39974930,3,[3]
40039442,2,[2]
40306315,0,[0]
40812504,-1,[-1]
41596377,3,[3]
42534611,-1,[-1]
43302753,1,[1]
43949085,1,[1]
44057041,2,[2]
44101412,-1,[-1]
44527648,1,[1]
44874400,-1,[-1]
46248315,3,[3]
46345843,-1,[-1]
47090533,3,[3]
47602298,3,[3]
48035712,-1,[-1]
48401464,3,[3]
50002463,-1,[-1]
50835878,0,[0]
51347326,3,[3]
51889494,2,[2]
52087269,0,[0]
52135300,1,[1]
52331035,2,[2]
52344859,-1,[-1]
56927066,-1,[-1]
58233603,-1,[-1]
58528137,-1,[-1]
60865434,-1,[-1]
62581962,0,[0]
63228090,3,[3]
64544431,-1,[-1]
69394398,-1,[-1]
69772425,2,[2]
70842829,-1,[-1]
71091067,1,[1]
73571504,1,[1]
74812615,3,[3]
75957652,-1,[-1]
76997832,-1,[-1]
79177959,3,[3]
84125491,0,[0]
85066997,-1,[-1]
85750927,-1,[-1]
86608231,-1,[-1]
88930844,-1,[-1]
89014429,-1,[-1]
89018574,2,[2]
89366493,2,[2]
89503894,-1,[-1]
89556802,1,[1]
93479142,3,[3]
93923056,3,[3]
94340379,3,[3]
95465386,-1,[-1]
97690357,-1,[-1]
97768878,-1,[-1]
100684909,2,[2]
102349515,3,[3]
105251590,1,[1]
105368263,3,[3]
106823281,1,[1]
110347890,3,[3]
110975630,-1,[-1]
112915037,2,[2]
113126125,-1,[-1]
113633105,3,[3]
119511875,2,[2]
123048985,1,[1]
126596564,-1,[-1]
127356461,-1,[-1]
137524817,-1,[-1]
139791861,-1,[-1]
139848744,1,[1]
141183218,2,[2]
141303634,-1,[-1]
141664648,1,[1]
143586143,2,[2]
155876965,-1,[-1]
158900583,-1,[-1]
160817572,-1,[-1]
160926944,-1,[-1]
167508096,3,[3]
168767461,1,[1]
170002596,1,[1]
171005817,2,[2]
172887151,-1,[-1]
173885254,2,[2]
177345928,1,[1]
178925575,-1,[-1]
179173379,-1,[-1]
182033179,1,[1]
183387449,-1,[-1]
185344587,-1,[-1]
186404598,-1,[-1]
206421406,3,[3]
210916584,-1,[-1]
211237817,-1,[-1]
211287423,3,[3]
213319874,3,[3]
213745334,-1,[-1]
214065051,-1,[-1]
214153705,-1,[-1]
222799749,-1,[-1]
223165982,-1,[-1]
225418717,-1,[-1]
226923198,-1,[-1]
236980532,-1,[-1]
237670274,-1,[-1]
238475531,-1,[-1]
255208221,3,[3]
271310204,-1,[-1]
275215221,-1,[-1]
275686586,-1,[-1]
283133921,-1,[-1]
287202982,-1,[-1]
295772191,3,[3]
299932350,-1,[-1]
326386591,-1,[-1]
341258707,-1,[-1]
344634424,-1,[-1]
353824303,-1,[-1]
370461346,3,[3]
386654472,-1,[-1]
414527943,-1,[-1]
420318016,-1,[-1]
444000685,-1,[-1]
486061584,-1,[-1]
515722353,-1,[-1]
562709391,-1,[-1]
